,instructor,quality,difficulty,take_again,timestamp,course_number,department,course_name,avg_quality,avg_difficulty,questions,%response,contributions,avg_response_time,enrolled,instructor_response,%active,semester
0,Haym Hirsh ,4,3,Yes,"Dec 11th, 2020",4700, CS,CS 4700,3.1818181818181817,2.5454545454545454,409,99,1875,22,238,96,55,SP20
1,Haym Hirsh ,4,3,Yes,"May 11th, 2020",4700, CS,CS 4700,3.1818181818181817,2.5454545454545454,409,99,1875,22,238,96,55,SP20
2,Haym Hirsh ,4,3,Yes,"Apr 9th, 2020",4700, CS,CS 4700,3.1818181818181817,2.5454545454545454,409,99,1875,22,238,96,55,SP20
3,Haym Hirsh ,1,2,No,"Dec 14th, 2019",4700, CS,CS 4700,3.1818181818181817,2.5454545454545454,409,99,1875,22,238,96,55,SP20
4,Haym Hirsh ,1,4,No,"Nov 12th, 2019",4700, CS,CS 4700,3.1818181818181817,2.5454545454545454,409,99,1875,22,238,96,55,SP20
5,Haym Hirsh ,5,3,Yes,"Jun 28th, 2019",4700, CS,CS 4700,3.1818181818181817,2.5454545454545454,409,99,1875,22,238,96,55,SP20
6,Haym Hirsh ,1,1,No,"Jan 31st, 2019",4700, CS,CS 4700,3.1818181818181817,2.5454545454545454,409,99,1875,22,238,96,55,SP20
7,Haym Hirsh ,4,2,Yes,"May 29th, 2018",4700, CS,CS 4700,3.1818181818181817,2.5454545454545454,409,99,1875,22,238,96,55,SP20
8,Haym Hirsh ,1,1,Yes,"May 16th, 2018",4700, CS,CS 4700,3.1818181818181817,2.5454545454545454,409,99,1875,22,238,96,55,SP20
9,Haym Hirsh ,5,3,Yes,"Aug 19th, 2017",4700, CS,CS 4700,3.1818181818181817,2.5454545454545454,409,99,1875,22,238,96,55,SP20
10,Haym Hirsh ,5,3,Yes,"Jun 25th, 2017",4700, CS,CS 4700,3.1818181818181817,2.5454545454545454,409,99,1875,22,238,96,55,SP20
11,Walker White ,5,4,Yes,"Feb 21st, 2020",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
12,Walker White ,5,4,Yes,"Feb 21st, 2020",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
13,Walker White ,5,5,B-,"Jan 15th, 2020",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
14,Walker White ,5,5,B-,"Jan 15th, 2020",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
15,Walker White ,5,4,Yes,"Dec 28th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
16,Walker White ,5,4,Yes,"Dec 28th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
17,Walker White ,4,3,Yes,"Dec 5th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
18,Walker White ,4,3,Yes,"Dec 5th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
19,Walker White ,5,3,Yes,"Nov 26th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
20,Walker White ,5,3,Yes,"Nov 26th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
21,Walker White ,5,4,Yes,"Apr 19th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
22,Walker White ,5,4,Yes,"Apr 19th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
23,Walker White ,5,4,Yes,"Jan 11th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
24,Walker White ,5,4,Yes,"Jan 11th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
25,Walker White ,4,4,No,"Jan 11th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
26,Walker White ,4,4,No,"Jan 11th, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
27,Walker White ,5,3,Yes,"Jan 3rd, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
28,Walker White ,5,3,Yes,"Jan 3rd, 2019",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
29,Walker White ,5,3,A,"Dec 22nd, 2018",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
30,Walker White ,5,3,A,"Dec 22nd, 2018",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
31,Walker White ,5,3,Yes,"Dec 14th, 2018",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
32,Walker White ,5,3,Yes,"Dec 14th, 2018",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
33,Walker White ,4,3,Yes,"Dec 10th, 2018",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
34,Walker White ,4,3,Yes,"Dec 10th, 2018",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
35,Walker White ,5,3,Yes,"Nov 11th, 2018",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
36,Walker White ,5,3,Yes,"Nov 11th, 2018",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
37,Walker White ,5,3,Yes,"Nov 10th, 2018",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
38,Walker White ,5,3,Yes,"Nov 10th, 2018",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
39,Walker White ,5,4,Yes,"Nov 9th, 2018",1110, CS,CS 1110,4.75,3.357142857142857,3825,100,11364,10,716,97,69,FA18
